,.I,.T,.A,.W,.B
310,311.0,procedur rang arithmet algorithm sixti one,gibb ,,1961-07-01
311,312.0,note approxim e x,olivier ,,1961-07-01
312,313.0,iter method invers power seri,bramhall ,,1961-07-01
313,314.0,divisionless method integ convers,clarkson  prince ,,1961-07-01
314,315.0,solut tridiagon matric,wenrick ,,1961-07-01
315,316.0,algorithm equival declar,arden  galler  graham ,,1961-07-01
316,317.0,approxim curv line segment use dynam program,bellman ,,1961-06-01
317,318.0,combat vehicl fire stabil activ suspens,fischer ,,1961-06-01
318,319.0,class iter formula histor note,traub ,class obtain ration correspond histor note iter procedur follow associ new notat simplifi error estim suggest gener final section consid pade approxim euler polynomi show number know may deriv unifi approach short discus best formula,1961-06-01
319,320.0,logic structur tabl,cantrell  king  king ,excel way develop requir procedur oper system circuit set rule write explain mean simpl exampl structur vend machin give use tabl two dimension natur enabl u fulli express consid sequenti parallel aspect logic compil directli comput program elimin need flow chart hand code,1961-06-01
320,321.0,algol sixti confidenti,knuth  merner ,first encount describ complex difficult metalinguist formula admir serv purpos precis specifi certainli readabl beginn howev experi show explain fact easi algorithm power handl enorm class part present assign go statement etc inde unnecessari impos compil final also allow unobvi thing write see later herein lie problem seem becom gener mani restrict lift lot technic detail crop hard learn correctli paper obscur featur languag consid use discuss remark base author interpret algol sixti report,1961-06-01
321,322.0,oper compat system convent,bright ,gener standard committe share organ devot consider effort problem oper effici view grow number avail program code util fix hardwar compon without recogn fact other may occupi storag medium first incompat current resolv manual system requir follow convent consid minim set time suffici broad interest feel comput user awar georg f ryckman chairman,1961-06-01
322,323.0,state digit comput technolog europ,blachman ,,1961-06-01
323,324.0,romberg integr algorithm sixti,bauer ,,1961-06-01
324,325.0,numer solut polynomi equat algorithm thirti,alexander ,,1961-05-01
325,326.0,mathsort algorithm twenti three,ranshaw ,,1961-05-01
326,327.0,zero real polynomi result procedur algorithm fifti nine,bareiss  fisherkeller ,,1961-05-01
327,328.0,matrix invers algorithm fifti eight,cohen ,,1961-05-01
328,329.0,automat abstract index survey recommend,edmundson  wyllys ,prepar widespread use scanner read document transmit content machin present new concept measur signific word group sentenc rel frequenc approach discus detail applic index abstract includ report summari studi publish date write conclus point toward sophist mathemat linguist techniqu solut problem automat analysi,1961-05-01
329,330.0,method evalu area normal function,baker ,,1961-05-01
330,331.0,success approxim comput storag problem ordinari differenti equat,bellman ,,1961-05-01
331,332.0,indirect chain method address secondari key,johnson ,enter access file basi one briefli survey wide use base pseudo random transform review detail effici gener chain method permit recoveri addit key present,1961-05-01
332,333.0,design improv transmiss data process code,bemer  jr   jr  ,,1961-05-01
333,334.0,divis squar root quater imaginari number system,nadler ,,1961-04-01
334,335.0,numer experi use newton method nonlinear parabol ellipticboundari valu problem,bellman  juncosa  kalaba ,gener newton parabol form g nonlinear ellipt eqat xx u yy exp u solv numer comparison result obtain use picard iter procedur show mani case quisi linear method offer substanti advantag time accuraci,1961-04-01
335,336.0,practic techniqu determin optimum relax factor success relax method,kulsrud ,,1961-04-01
336,337.0,survey punch card code,ross ,,1961-04-01
337,338.0,grout ii algorithm forti three,jr  ,,1961-04-01
338,339.0,real exponenti integr algorithm twenti,alexander  jr  ,,1961-04-01
339,340.0,legendr polynomi algorithm thirteen,herndon ,,1961-04-01
340,341.0,chebyschev polynomi algorithm ten,herndon ,,1961-04-01
341,342.0,solut polynomi equat barstow hitchcock algorithm three,herndon ,,1961-04-01
342,343.0,frequent occur error algol sixti program algorithm twenti five,herndon ,,1961-04-01
343,344.0,ber bei function algorithm fifti seven,herndon ,,1961-04-01
344,345.0,complet ellipt integr second kind algorithm fifti six,herndon ,,1961-04-01
345,346.0,complet ellipt integr first kind algorithm fifti five,herndon ,,1961-04-01
346,347.0,gamma function ring one two algorithm fifti four,herndon ,,1961-04-01
347,348.0,nth root complex number algorithm fifti three,herndon ,,1961-04-01
348,349.0,set test matric,herndon ,,1961-04-01
349,350.0,adjust invers matrix element perturb algorithm fifti one,herndon ,,1961-04-01
350,351.0,invers finit segment hilbert matrix algorithm fifti,herndon ,,1961-04-01
351,352.0,spheric neumant function algorithm forti nine,herndon ,,1961-04-01
352,353.0,logarithm complex number algorithm forti eight,herndon ,,1961-04-01
353,354.0,associ legendr function first kind real imaginari argument algorithm forti seven,herndon ,,1961-04-01
354,355.0,exponenti complex number algorithm forti six,herndon ,,1961-04-01
355,356.0,interest algorithm forti five,ingerman ,,1961-04-01
356,357.0,bessel function comput recur algorithm forti four,wojcicki ,,1961-04-01
357,358.0,crout pivot ii algorithm forti three,jr  ,,1961-04-01
358,359.0,invert algorithm forti two,wood ,,1961-04-01
359,360.0,evalu determin algorithm forti one,solomon ,,1961-04-01
360,361.0,program error correct decim comput,weinberg ,,1961-04-01
361,362.0,tabl look techniqu,sherman ,,1961-04-01
362,363.0,approxim transcendent number continu fraction,karst ,,1961-04-01
363,364.0,compil subscript variabl,nather ,,1961-04-01
364,365.0,bessel function integr order complex argument,gray ,,1961-04-01
365,366.0,eigenvalu symmetr three x three matrix,smith ,,1961-04-01
366,367.0,topolog order list randomli number element network,lasser ,network direct segment free circular element identifi termin node assum number non system give line numer simpl techniqu use creat high speed list topolog order,1961-04-01
367,368.0,real zero arbitrari function algorithm twenti five,collinge ,,1961-03-01
368,369.0,crout pivot algorithm sixteen,jr  ,,1961-03-01
369,370.0,bisect routin algorithm four,rader ,,1961-03-01
370,371.0,remark algorithm two three algorithm fifteen algorithm twenti five twenti six,wilkinson ,,1961-03-01
371,372.0,critic path schedul algorithm forti,leavenworth ,,1961-03-01
372,373.0,correl coeffici matrix multipl algorithm thirti nine,sassouni ,,1961-03-01
373,374.0,telescop two algorithm thirti eight,brons ,,1961-03-01
374,375.0,telescop one algorithm thirti seven,brons ,,1961-03-01
375,376.0,tchebycheff algorithm thirti six,gianni ,,1961-03-01
376,377.0,siev algorithm thirti five,wood ,,1961-03-01
377,378.0,gener techniqu symbol manipul numer calcul,ross ,,1961-03-01
378,379.0,bitwis oper,strachey ,,1961-03-01
379,380.0,comparison iter method calcul nth root,traub ,three iter method calcul nth root includ one propos author compar two way one theoret converg estim give two new macrocompil estim machin run time use compar run time three method varieti input data,1961-03-01
380,381.0,altern form uncol diagram,bratman ,,1961-03-01
381,382.0,statist program univers north carolina,bush ,,1961-02-01
382,383.0,find minimum rout network turn penalti,caldwell ,,1961-02-01
383,384.0,gamma function algorithm thirti four,lipp ,,1961-02-01
384,385.0,factori algorithm thirti three,lipp ,,1961-02-01
385,386.0,multint algorithm thirti two,jr  ,,1961-02-01
386,387.0,gamma function algorithm thirti one,collinge r ,,1961-02-01
387,388.0,solut polynomi equat bairstow hitchcock method algorithm three,vandergraft ,,1961-02-01
388,389.0,real exponenti integr algorithm twenti,peavy ,,1961-02-01
389,390.0,complex exponenti integr algorithm thirteen,rader  jr  ,,1961-02-01
390,391.0,bk system philco two thousand,smith ,,1961-02-01
391,392.0,comment paper parallel process,nekora ,,1961-02-01
392,393.0,two subroutin symbol manipul algebra compil,iii  hanson ,,1961-02-01
393,394.0,multipl program data process,ryle ,,1961-02-01
394,395.0,multipl precis divis,rabinowitz ,,1961-02-01
395,396.0,autom program debug,jacoby  layton ,automat substanti reduc lead time code effect complex also enforc criterion result verifi accur m specifi memori area input maximum repetit loop checkpoint inform set data execut program run program perform check function creat trace record later analysi locat error applic quit flexibl system use alon conjunct debug techniqu,1961-07-01
396,397.0,card format refer file inform process,grems ,paper propos suitabl varieti inform process eighti column ibm divid two field field column one sixti seven field column sixti eight eighti flexibl format rigid includ basic index titl sourc class summari cross entri identif includ basic code matrix descriptor entri number kind major interest sourc identif also provid choic identifi materi person well gener sinc card format suffici identifi materi normal associ refer file book articl program term hardwar term equip machin system abbrevi etc suitabl standard card refer file inform process,1961-02-01
397,398.0,slang system,sibley ,,1961-01-01
398,399.0,compil techniqu boolean express condit statement algol sixti,huskey  wattenburg ,,1961-01-01
399,400.0,comment implement recur procedur block algol sixti,irons  feurzeig ,,1961-01-01
400,401.0,alloc storag array algol sixti,sattley ,,1961-01-01
401,402.0,dynam declar,ingerman ,,1961-01-01
402,403.0,thunk way compil procedur statement comment procedur declar,ingerman ,,1961-01-01
403,404.0,syntax direct compil algol sixti,irons ,,1961-01-01
404,405.0,algorithm code effici arithmet oper,floyd ,exist formula translat scheme yield ineffici code method describ reduc number store fetch oper evalu constant compil recogn mani equival subexpress,1961-01-01
405,406.0,use thread list construct combin algol machin like assembl processor,jr   perlis  zoeren ,,1961-01-01
406,407.0,madcap scientif compil display formula textbook languag,wells ,,1961-01-01
407,408.0,intern organ mad translat,arden  galler  graham ,,1961-01-01
408,409.0,cl one environ compil,jr   jr   leonard ,flexibl scale facilit solut inform process problem provid intercommun program programm develop realiz ibm hundr nine seven thousand nineti comput system base master file provis accept store retriev instanc larg complex well defin set algorithm may express famili command languag concept distinct data content use descript discus detail,1961-01-01
409,410.0,clip translat,englund  clark ,,1961-01-01
410,411.0,use magnet tape data storag oracl algol translat,bottenbruch ,,1961-01-01
411,412.0,recurs process algol translat,gray ,,1961-01-01
412,413.0,basic compil arithmet express,huskey  wattenburg ,,1961-01-01
413,414.0,ibm one thousand four hundr forti data process system featur five new unit,wheeling ,ibm forti data process system announc recent intern busi machin corpor featur one thousand three hundr eleven storag drive interchang disk pack four newli develop unit,1961-12-01
